country,year,gdp_growth,inflation,current_account_gdp,external_debt_gni,foreign_reserves_months,trade_balance_gdp,unemployment,real_interest_rate,broad_money_growth
"Korea, Rep.",2006,5.24500550580342,2.24234028518921,0.191275272898578,,7.27710997239579,0.516485614105957,3.254,6.16075413094103,12.5129608596578
"Korea, Rep.",2007,5.8419633918717,2.53457382137932,0.857760495298849,,6.85652160718251,0.75902040763082,3.013,3.9416601586454,10.8199645314506
"Korea, Rep.",2008,3.00440451679569,4.67389655533408,0.160592800145373,,4.46436257694186,-0.38905282072439,2.959,4.10863165815276,11.9562036963622
"Korea, Rep.",2009,0.81986175641795,2.7564965449393,3.36575830090763,,7.80292095600634,3.89662914724742,3.363,2.07481127238993,9.88594854042114
"Korea, Rep.",2010,6.98166138853071,2.93928652655686,2.34320897623578,,6.5467233974824,2.51585366507856,3.324,2.71883334374472,5.97887647571808
"Korea, Rep.",2011,3.6880320602952,4.0259650043609,1.27290610804572,,5.39203401880799,0.882025073458368,2.992,4.42580144247274,5.4758619616047
"Korea, Rep.",2012,2.54766550568242,2.18707104433314,3.65378622367594,,5.76906053221769,2.52979033798748,2.812,4.05140294190715,4.8064654842376
"Korea, Rep.",2013,3.2913959543442,1.30134754547413,5.38513504027402,,6.19845985710316,4.30019462255103,3.067,3.52829393471496,4.63889133228525
"Korea, Rep.",2014,3.21468019683108,1.27477446401322,5.33522703805369,,6.54230372996404,4.64098293740656,3.082,3.17863075274962,8.14449306578048
"Korea, Rep.",2015,2.92029267301234,0.70633177245575,6.82937629347486,,7.9205453756485,6.54808545154575,3.546,0.295335527644416,8.19074818640474
"Korea, Rep.",2016,3.17152748983935,0.971685739912168,6.20103649558332,,8.38848501351327,6.32625298509034,3.65,1.27867160404439,7.1231560157317
"Korea, Rep.",2017,3.433191763972,1.94433230786366,4.39896168114518,,7.55831770286656,4.50563915770476,3.653,1.42899755923416,5.10474089994852
Malaysia,1990,9.00852713774628,2.61780104712051,-1.97596593915066,,3.6044141151064,2.04398686608275,,4.79541772279953,-43.7382575357264
Malaysia,1991,9.54546741443052,4.358333333333,-8.51147688277301,,3.21126841488093,-3.66034161214884,3.7,5.56337120990198,16.8771825011186
Malaysia,1992,8.88511797832156,4.76722829992821,-3.66302477841909,,4.43574333299294,1.35649911734646,3.71,7.56479177810498,71.9121062599959
Malaysia,1993,9.89494333377064,3.53658536585389,-4.4711197835,,5.83748784402236,-0.0998873363764126,4.11,5.81213391154941,26.3624955122874
Malaysia,1994,9.21204179334867,3.72497055359284,-6.06906128911756,,4.31341404796643,-1.60338891134293,3.64,4.64398300884851,11.5083208186672
Malaysia,1995,9.82908519730812,3.45057509584895,-9.74414011928345,,3.16588836476111,-3.93485951104179,3.15,4.91789276941431,18.5254741222616
Malaysia,1996,10.0027006861844,3.48855945858916,-4.4241026644928,,3.41210256522721,1.38531994387779,2.52,6.04112247803348,18.4846986454946
Malaysia,1997,7.32274185035924,2.66251459711946,-5.93493554436093,,2.5718898112105,0.913784843591973,2.45,6.90550976035381,16.0355965133424
Malaysia,1998,-7.35941518817556,5.27034200348766,13.2035212438437,,4.31564595525575,21.9952478966824,3.2,3.35068161944531,0.229557897177802
Malaysia,1999,6.13761201057692,2.74456130240604,15.9240800095756,,4.43774392672585,25.0518679097232,3.43,8.51401065477759,12.0988672196889
Malaysia,2000,8.85886816969386,1.53474023697699,9.04991849068885,,3.31032261008637,19.2126284718618,3.0,-1.08573897723978,10.0477651051237
